"","data.Overall.life.expectancy.at.birth","data.Male.life.expectancy.at.birth","data.Female.life.expectancy.at.birth","data.Continent"
"172",66.5,64.3,68.8,"Oceania"
"153",70.7,66.9,74.8,"Europe"
"74",77.2,74.1,80.5,"South America"
"59",78.3,75.7,81.2,"Europe"
"13",82.3,79.8,84.9,"Europe"
"95",75.8,72.7,78.9,"South America"
"83",76.7,73.7,80,"Europe"
"217",52.4,50.3,54.5,"Africa"
"54",78.7,76.7,80.8,"Asia"
"103",75.4,72.4,78.5,"North America"
"63",78,76.6,79.4,"Asia"
"112",74.9,69.5,80.6,"Europe"
"126",73.8,70.7,77,"Asia"
"36",80.5,78.2,83,"North America"
"104",75.3,73,77.7,"North America"
"44",79.7,76.7,82.8,"Oceania"
"33",80.7,78.4,83.1,"Europe"
"98",75.6,73.3,78,"Asia"
"137",72.9,69.9,75.9,"South America"
"164",68.4,65.4,71.5,"South America"
"99",75.6,72.2,79.2,"Africa"
"167",67.7,64.6,71,"Asia"
"3",85,82.3,87.8,"Asia"
"60",78.2,74.6,82,"Europe"
"129",73.6,72,75.3,"North America"
"205",58,57.3,58.7,"Africa"
"133",73.2,71.1,75.5,"North America"
"36.1",80.5,78.2,83,"North America"
"121",74.5,69.9,79.3,"Europe"
"13.1",82.3,79.8,84.9,"Europe"
"85",76.5,74.4,78.8,"North America"
"216",52.5,50.8,54.1,"Africa"
"38",80.4,78,82.8,"Europe"
"192",62.2,59.8,64.7,"Africa"
"223",50.2,49,51.3,"Africa"
"177",64.9,62.4,67.5,"Africa"
"128",73.7,70.8,76.8,"Oceania"
"158",70.1,67.1,73.3,"Asia"
"219",52.1,51.6,52.5,"Africa"
"190",63,60.7,65.4,"Africa"
"186",63.8,61.2,66.4,"North America"
"223.1",50.2,49,51.3,"Africa"
"48",79.4,75.8,83.1,"North America"
"38.1",80.4,78,82.8,"Europe"
"82",76.8,73.3,80.4,"Asia"
"212",54.5,56.3,52.6,"Africa"
"111",74.9,72.6,77.2,"Asia"
"130",73.4,71.8,75.1,"Oceania"
"15",82.2,79.6,85,"Europe"
"173",66.2,63.7,68.8,"Oceania"
"68",77.6,76.3,78.9,"Asia"
"90",76.1,74,78.4,"Africa"
"34",80.7,78.5,83,"Europe"
"43",79.8,77.5,82.1,"North America"
"146",72.2,69.8,74.8,"South America"
"23",81.5,78.9,84.3,"Europe"
"68.1",77.6,76.3,78.9,"Asia"
"210",55.5,54.3,56.8,"Africa"
"74.1",77.2,74.1,80.5,"South America"
"45",79.5,76.6,82.6,"Africa"
"24",81.4,78.8,84.1,"North America"
"143",72.4,69.7,75.2,"Europe"
"111.1",74.9,72.6,77.2,"Asia"
"167.1",67.7,64.6,71,"Asia"
"209",55.5,53.4,57.6,"Africa"
"17",81.9,79.2,84.6,"North America"
"16",82.1,80.2,84.1,"Europe"
