"","data.Overall.life.expectancy.at.birth","data.Male.life.expectancy.at.birth","data.Female.life.expectancy.at.birth","data.Continent"
"65",77.9,75.6,79.6,"South America"
"5",83.3,80.7,86.1,"Europe"
"8",82.8,80.6,85.1,"Europe"
"150",71.1,69.5,72.8,"North America"
"182",64.2,61.9,66.6,"Africa"
"165",68.1,66.5,69.7,"Asia"
"65.1",77.9,75.6,79.6,"South America"
"144",72.4,70,74.8,"North America"
"153",70.7,66.9,74.8,"Europe"
"41",80,77,83.2,"North America"
"162",68.7,67.2,70.4,"North America"
"147",72.1,69.8,74.5,"Africa"
"10",82.5,79.9,85.4,"Europe"
"152",70.7,66.5,75.1,"Asia"
"29",81.2,79.1,83.3,"Oceania"
"196",61.2,59.2,63.2,"Africa"
"120",74.5,71.2,78,"Europe"
"161",69.2,65.7,72.9,"Asia"
"67",77.7,73.7,81.9,"Europe"
"63",78,76.6,79.4,"Asia"
"163",68.5,67.3,69.8,"Asia"
"75",77.1,74,80.4,"South America"
"110",75,73,77.1,"Asia"
"10.1",82.5,79.9,85.4,"Europe"
"116",74.7,70.2,79.4,"Africa"
"188",63.2,60.7,65.8,"Africa"
"181",64.3,62.2,66.4,"Asia"
"172",66.5,64.3,68.8,"Oceania"
"80",76.8,73.7,79.9,"Europe"
"174",65.9,64.4,67.4,"Africa"
"166",67.7,65.8,69.8,"Asia"
"78",76.9,73.8,80.1,"Africa"
"220",51.6,52.2,51,"Africa"
"76",77.1,73.5,80.9,"Europe"
"142",72.5,69.5,75.8,"Europe"
"148",71.8,67.1,76.9,"Europe"
"79",76.8,75.5,78.2,"Africa"
"42",79.8,77.1,82.7,"North America"
"103",75.4,72.4,78.5,"North America"
"8.1",82.8,80.6,85.1,"Europe"
"106",75.3,73.2,77.4,"Asia"
"53",78.7,75.8,81.6,"Europe"
"92",75.9,72.2,79.8,"Europe"
"108",75.1,71.7,78.8,"Europe"
"93",75.9,73.1,78.8,"North America"
"13",82.3,79.8,84.9,"Europe"
"215",53,52.9,53.1,"Africa"
"148.1",71.8,67.1,76.9,"Europe"
"135",73.1,69.9,76.5,"Oceania"
"146",72.2,69.8,74.8,"South America"
"59",78.3,75.7,81.2,"Europe"
"166.1",67.7,65.8,69.8,"Asia"
"98",75.6,73.3,78,"Asia"
"12",82.4,79.3,85.8,"Asia"
"179",64.9,62.5,67.3,"Africa"
"142.1",72.5,69.5,75.8,"Europe"
"213",53.4,52.4,54.5,"Africa"
"31",80.9,77.9,84,"Europe"
"150.1",71.1,69.5,72.8,"North America"
"169",67.1,63,70.5,"Oceania"
"168",67.2,65,69.5,"Oceania"
"57",78.6,75.7,81.8,"Europe"
"219",52.1,51.6,52.5,"Africa"
"70",77.5,74.8,80.2,"Asia"
"83",76.7,73.7,80,"Europe"
"159",69.6,65.4,74.1,"Asia"
"110.1",75,73,77.1,"Asia"
"93.1",75.9,73.1,78.8,"North America"
"25",81.3,78.1,84.5,"North America"
"109",75,72.2,78,"Asia"
"174.1",65.9,64.4,67.4,"Africa"
"179.1",64.9,62.5,67.3,"Africa"
"48",79.4,75.8,83.1,"North America"
"191",63,60.7,65.4,"Africa"
"15",82.2,79.6,85,"Europe"
"88",76.2,73.6,79,"Europe"
"90",76.1,74,78.4,"Africa"
"161.1",69.2,65.7,72.9,"Asia"
"212",54.5,56.3,52.6,"Africa"
"213.1",53.4,52.4,54.5,"Africa"
"205",58,57.3,58.7,"Africa"
"53.1",78.7,75.8,81.6,"Europe"
"191.1",63,60.7,65.4,"Africa"
"52",78.7,76.4,81.1,"North America"
"54",78.7,76.7,80.8,"Asia"
"21",81.8,79.8,83.9,"Europe"
"122",74.4,75.8,72.9,"North America"
"49",79.3,76.1,82.8,"Europe"
"18",81.9,79.4,84.5,"Europe"
"136",72.9,70.8,75,"Oceania"
"149",71.4,69.8,73.1,"Asia"
"136.1",72.9,70.8,75,"Oceania"
"137",72.9,69.9,75.9,"South America"
"72",77.2,74.9,79.6,"Europe"
"208",55.8,53.9,57.7,"Africa"
"145",72.3,70.3,74.4,"North America"
"213.2",53.4,52.4,54.5,"Africa"
"188.1",63.2,60.7,65.8,"Africa"
"96",75.7,72.6,79,"South America"
"118",74.6,71.4,78.3,"Asia"
"125",73.8,70.2,77.5,"South America"
"116.1",74.7,70.2,79.4,"Africa"
"194",61.9,60.5,63.3,"Africa"
"52.1",78.7,76.4,81.1,"North America"
"24",81.4,78.8,84.1,"North America"
"197",60.6,59,62.2,"Africa"
"107",75.3,72.7,78.1,"Oceania"
"176",65,62.3,69.7,"Africa"
"169.1",67.1,63,70.5,"Oceania"
"216",52.5,50.8,54.1,"Africa"
"90.1",76.1,74,78.4,"Africa"
"40",80.1,77,83.5,"Asia"
"83.1",76.7,73.7,80,"Europe"
"40.1",80.1,77,83.5,"Asia"
"91",75.9,72.7,79.2,"Europe"
"66",77.8,75,80.7,"North America"
"22",81.7,78.7,84.9,"Europe"
"200",59.3,58.1,60.6,"Africa"
"96.1",75.7,72.6,79,"South America"
"110.2",75,73,77.1,"Asia"
"95",75.8,72.7,78.9,"South America"
"172.1",66.5,64.3,68.8,"Oceania"
"134",73.1,70.9,75.4,"Oceania"
"179.2",64.9,62.5,67.3,"Africa"
"103.1",75.4,72.4,78.5,"North America"
"42.1",79.8,77.1,82.7,"North America"
"27",81.2,78.5,84,"North America"
"207",56,54.8,57.2,"Africa"
"61",78.1,75.9,80.5,"North America"
"170",66.6,64.2,69.2,"Asia"
"13.1",82.3,79.8,84.9,"Europe"
"86",76.5,74.7,78.3,"Africa"
"107.1",75.3,72.7,78.1,"Oceania"
"39",80.2,77.4,83.2,"Europe"
"208.1",55.8,53.9,57.7,"Africa"
"173",66.2,63.7,68.8,"Oceania"
"160",69.2,66.4,72.1,"South America"
"180",64.5,62,67.1,"Asia"
"37",80.4,77.8,83.1,"Europe"
"111",74.9,72.6,77.2,"Asia"
"109.1",75,72.2,78,"Asia"
"64",78,75.3,80.8,"North America"
"197.1",60.6,59,62.2,"Africa"
"87",76.2,72.1,80.6,"Europe"
"117",74.7,71.5,78,"Asia"
"159.1",69.6,65.4,74.1,"Asia"
"104",75.3,73,77.7,"North America"
"204",58.2,55.6,60.9,"Africa"
"106.1",75.3,73.2,77.4,"Asia"
"124",73.9,72.3,75.7,"Asia"
"63.1",78,76.6,79.4,"Asia"
"20",81.8,78.7,85.1,"Europe"
"211",55.4,54,56.9,"Africa"
"158",70.1,67.1,73.3,"Asia"
"48.1",79.4,75.8,83.1,"North America"
"108.1",75.1,71.7,78.8,"Europe"
"195",61.7,59.7,63.8,"Africa"
"39.1",80.2,77.4,83.2,"Europe"
"13.2",82.3,79.8,84.9,"Europe"
"17",81.9,79.2,84.6,"North America"
"222",50.6,48.6,52.7,"Africa"
"215.1",53,52.9,53.1,"Africa"
"121",74.5,69.9,79.3,"Europe"
"153.1",70.7,66.9,74.8,"Europe"
"186",63.8,61.2,66.4,"North America"
"91.1",75.9,72.7,79.2,"Europe"
"92.1",75.9,72.2,79.8,"Europe"
"29.1",81.2,79.1,83.3,"Oceania"
"163.1",68.5,67.3,69.8,"Asia"
"188.2",63.2,60.7,65.8,"Africa"
"153.2",70.7,66.9,74.8,"Europe"
"81",76.8,73.8,79.9,"South America"
"178",64.9,63.6,66.3,"Africa"
"163.2",68.5,67.3,69.8,"Asia"
"221",51.3,49.9,52.7,"Asia"
"45",79.5,76.6,82.6,"Africa"
"109.2",75,72.2,78,"Asia"
"76.1",77.1,73.5,80.9,"Europe"
