"","data.Overall.life.expectancy.at.birth","data.Male.life.expectancy.at.birth","data.Female.life.expectancy.at.birth","data.Continent"
"8",82.8,80.6,85.1,"Europe"
"184",64.1,62,66.3,"Africa"
"148",71.8,67.1,76.9,"Europe"
"2",85,81.7,88.5,"Asia"
"165",68.1,66.5,69.7,"Asia"
"24",81.4,78.8,84.1,"North America"
"82",76.8,73.3,80.4,"Asia"
"115",74.7,71.4,78.1,"North America"
"169",67.1,63,70.5,"Oceania"
"7",82.9,80.3,85.8,"Asia"
"88",76.2,73.6,79,"Europe"
"205",58,57.3,58.7,"Africa"
"203",58.5,57.1,59.9,"Africa"
"11",82.4,80.6,84.4,"Asia"
"198",60.5,58.8,62.3,"Africa"
"177",64.9,62.4,67.5,"Africa"
"97",75.7,73.3,78.2,"North America"
"151",70.8,65.6,75.7,"Asia"
"56",78.6,75.9,81.4,"South America"
"162",68.7,67.2,70.4,"North America"
"172",66.5,64.3,68.8,"Oceania"
"8.1",82.8,80.6,85.1,"Europe"
"190",63,60.7,65.4,"Africa"
"52",78.7,76.4,81.1,"North America"
"206",57.3,55.8,58.9,"Africa"
"209",55.5,53.4,57.6,"Africa"
"76",77.1,73.5,80.9,"Europe"
"151.1",70.8,65.6,75.7,"Asia"
"130",73.4,71.8,75.1,"Oceania"
"118",74.6,71.4,78.3,"Asia"
"82.1",76.8,73.3,80.4,"Asia"
"23",81.5,78.9,84.3,"Europe"
"190.1",63,60.7,65.4,"Africa"
"165.1",68.1,66.5,69.7,"Asia"
"150",71.1,69.5,72.8,"North America"
"183",64.2,63.1,65.4,"Africa"
"68",77.6,76.3,78.9,"Asia"
"149",71.4,69.8,73.1,"Asia"
"98",75.6,73.3,78,"Asia"
"174",65.9,64.4,67.4,"Africa"
"212",54.5,56.3,52.6,"Africa"
"216",52.5,50.8,54.1,"Africa"
"70",77.5,74.8,80.2,"Asia"
"72",77.2,74.9,79.6,"Europe"
"203.1",58.5,57.1,59.9,"Africa"
"45",79.5,76.6,82.6,"Africa"
"20",81.8,78.7,85.1,"Europe"
"59",78.3,75.7,81.2,"Europe"
"68.1",77.6,76.3,78.9,"Asia"
"193",62.2,60.8,63.6,"Africa"
"51",78.8,75.7,81.9,"South America"
"84",76.7,71.9,81.7,"Europe"
"17",81.9,79.2,84.6,"North America"
"70.1",77.5,74.8,80.2,"Asia"
"187",63.6,62.1,65.1,"Africa"
"61",78.1,75.9,80.5,"North America"
"93",75.9,73.1,78.8,"North America"
"216.1",52.5,50.8,54.1,"Africa"
"109",75,72.2,78,"Asia"
"101",75.5,73.5,77.9,"Asia"
"111",74.9,72.6,77.2,"Asia"
"3",85,82.3,87.8,"Asia"
"129",73.6,72,75.3,"North America"
"125",73.8,70.2,77.5,"South America"
"162.1",68.7,67.2,70.4,"North America"
"42",79.8,77.1,82.7,"North America"
"70.2",77.5,74.8,80.2,"Asia"
"76.1",77.1,73.5,80.9,"Europe"
"13",82.3,79.8,84.9,"Europe"
"64",78,75.3,80.8,"North America"
"110",75,73,77.1,"Asia"
"210",55.5,54.3,56.8,"Africa"
"134",73.1,70.9,75.4,"Oceania"
"31",80.9,77.9,84,"Europe"
"21",81.8,79.8,83.9,"Europe"
"5",83.3,80.7,86.1,"Europe"
"191",63,60.7,65.4,"Africa"
"91",75.9,72.7,79.2,"Europe"
"76.2",77.1,73.5,80.9,"Europe"
"223",50.2,49,51.3,"Africa"
"25",81.3,78.1,84.5,"North America"
"110.1",75,73,77.1,"Asia"
"104",75.3,73,77.7,"North America"
"45.1",79.5,76.6,82.6,"Africa"
"138",72.7,67.2,78.6,"Europe"
"26",81.3,79.2,83.6,"Europe"
"189",63.1,61.6,64.6,"Africa"
"139",72.7,71.4,74.2,"Africa"
"135",73.1,69.9,76.5,"Oceania"
"180",64.5,62,67.1,"Asia"
"175",65.5,63.4,67.8,"Asia"
"171",66.6,64.1,69.1,"Africa"
"64.1",78,75.3,80.8,"North America"
"79",76.8,75.5,78.2,"Africa"
"196",61.2,59.2,63.2,"Africa"
"70.3",77.5,74.8,80.2,"Asia"
"39",80.2,77.4,83.2,"Europe"
"177.1",64.9,62.4,67.5,"Africa"
"46",79.4,77,82,"Europe"
"202",58.7,57.5,59.9,"Africa"
"132",73.2,71,75.4,"Asia"
"114",74.8,72.5,77.3,"Europe"
"215",53,52.9,53.1,"Africa"
"179",64.9,62.5,67.3,"Africa"
"120",74.5,71.2,78,"Europe"
"11.1",82.4,80.6,84.4,"Asia"
"207",56,54.8,57.2,"Africa"
"212.1",54.5,56.3,52.6,"Africa"
"185",64,62.6,65.5,"Africa"
"156",70.3,64.3,76.4,"Asia"
"56.1",78.6,75.9,81.4,"South America"
"158",70.1,67.1,73.3,"Asia"
"139.1",72.7,71.4,74.2,"Africa"
"26.1",81.3,79.2,83.6,"Europe"
"142",72.5,69.5,75.8,"Europe"
"185.1",64,62.6,65.5,"Africa"
"79.1",76.8,75.5,78.2,"Africa"
"101.1",75.5,73.5,77.9,"Asia"
"165.2",68.1,66.5,69.7,"Asia"
"198.1",60.5,58.8,62.3,"Africa"
"93.1",75.9,73.1,78.8,"North America"
"192",62.2,59.8,64.7,"Africa"
"111.1",74.9,72.6,77.2,"Asia"
"38",80.4,78,82.8,"Europe"
"139.2",72.7,71.4,74.2,"Africa"
"78",76.9,73.8,80.1,"Africa"
"103",75.4,72.4,78.5,"North America"
"133",73.2,71.1,75.5,"North America"
"186",63.8,61.2,66.4,"North America"
"34",80.7,78.5,83,"Europe"
"201",59,57.3,60.8,"Africa"
"192.1",62.2,59.8,64.7,"Africa"
"136",72.9,70.8,75,"Oceania"
"40",80.1,77,83.5,"Asia"
"127",73.7,71.7,75.9,"South America"
"98.1",75.6,73.3,78,"Asia"
"50",78.9,76.7,81.1,"Asia"
"99",75.6,72.2,79.2,"Africa"
"72.1",77.2,74.9,79.6,"Europe"
"43",79.8,77.5,82.1,"North America"
"56.2",78.6,75.9,81.4,"South America"
"139.3",72.7,71.4,74.2,"Africa"
"118.1",74.6,71.4,78.3,"Asia"
"199",60.1,58.5,61.7,"Africa"
"217",52.4,50.3,54.5,"Africa"
"146",72.2,69.8,74.8,"South America"
"154",70.7,70.1,71.3,"Asia"
"164",68.4,65.4,71.5,"South America"
"1",89.5,85.6,93.5,"Europe"
"219",52.1,51.6,52.5,"Africa"
"159",69.6,65.4,74.1,"Asia"
"157",70.1,69.1,71.1,"Asia"
"18",81.9,79.4,84.5,"Europe"
"157.1",70.1,69.1,71.1,"Asia"
"9",82.6,80.3,85,"Europe"
"195",61.7,59.7,63.8,"Africa"
"37",80.4,77.8,83.1,"Europe"
"100",75.5,73.5,77.5,"Asia"
"214",53.3,52.6,54.1,"Africa"
"10",82.5,79.9,85.4,"Europe"
"151.2",70.8,65.6,75.7,"Asia"
"217.1",52.4,50.3,54.5,"Africa"
"116",74.7,70.2,79.4,"Africa"
"146.1",72.2,69.8,74.8,"South America"
"60",78.2,74.6,82,"Europe"
"100.1",75.5,73.5,77.5,"Asia"
"99.1",75.6,72.2,79.2,"Africa"
"148.1",71.8,67.1,76.9,"Europe"
"20.1",81.8,78.7,85.1,"Europe"
"168",67.2,65,69.5,"Oceania"
"175.1",65.5,63.4,67.8,"Asia"
"152",70.7,66.5,75.1,"Asia"
"15",82.2,79.6,85,"Europe"
"32",80.8,78.5,83.2,"Europe"
"106",75.3,73.2,77.4,"Asia"
"3.1",85,82.3,87.8,"Asia"
"121",74.5,69.9,79.3,"Europe"
"212.2",54.5,56.3,52.6,"Africa"
