"","data.Overall.life.expectancy.at.birth","data.Male.life.expectancy.at.birth","data.Female.life.expectancy.at.birth","data.Continent"
"10",82.5,79.9,85.4,"Europe"
"142",72.5,69.5,75.8,"Europe"
"116",74.7,70.2,79.4,"Africa"
"139",72.7,71.4,74.2,"Africa"
"138",72.7,67.2,78.6,"Europe"
"35",80.5,77.9,83.3,"Europe"
"134",73.1,70.9,75.4,"Oceania"
"165",68.1,66.5,69.7,"Asia"
"44",79.7,76.7,82.8,"Oceania"
"157",70.1,69.1,71.1,"Asia"
"67",77.7,73.7,81.9,"Europe"
"160",69.2,66.4,72.1,"South America"
"50",78.9,76.7,81.1,"Asia"
"192",62.2,59.8,64.7,"Africa"
"151",70.8,65.6,75.7,"Asia"
"189",63.1,61.6,64.6,"Africa"
"46",79.4,77,82,"Europe"
"203",58.5,57.1,59.9,"Africa"
"183",64.2,63.1,65.4,"Africa"
"198",60.5,58.8,62.3,"Africa"
"17",81.9,79.2,84.6,"North America"
"57",78.6,75.7,81.8,"Europe"
"69",77.6,73.7,81.7,"Europe"
"214",53.3,52.6,54.1,"Africa"
"16",82.1,80.2,84.1,"Europe"
"183.1",64.2,63.1,65.4,"Africa"
"157.1",70.1,69.1,71.1,"Asia"
"88",76.2,73.6,79,"Europe"
"113",74.9,72.5,77.4,"Asia"
"86",76.5,74.7,78.3,"Africa"
"86.1",76.5,74.7,78.3,"Africa"
"195",61.7,59.7,63.8,"Africa"
"222",50.6,48.6,52.7,"Africa"
"46.1",79.4,77,82,"Europe"
"193",62.2,60.8,63.6,"Africa"
"216",52.5,50.8,54.1,"Africa"
"184",64.1,62,66.3,"Africa"
"201",59,57.3,60.8,"Africa"
"156",70.3,64.3,76.4,"Asia"
"157.2",70.1,69.1,71.1,"Asia"
"169",67.1,63,70.5,"Oceania"
"112",74.9,69.5,80.6,"Europe"
"19",81.9,79.7,84.6,"Europe"
"84",76.7,71.9,81.7,"Europe"
"62",78.1,75.8,80.6,"Europe"
"116.1",74.7,70.2,79.4,"Africa"
"178",64.9,63.6,66.3,"Africa"
"128",73.7,70.8,76.8,"Oceania"
"185",64,62.6,65.5,"Africa"
"27",81.2,78.5,84,"North America"
"190",63,60.7,65.4,"Africa"
"135",73.1,69.9,76.5,"Oceania"
"83",76.7,73.7,80,"Europe"
"200",59.3,58.1,60.6,"Africa"
"127",73.7,71.7,75.9,"South America"
"59",78.3,75.7,81.2,"Europe"
"67.1",77.7,73.7,81.9,"Europe"
"123",74.3,71.7,77.1,"North America"
"40",80.1,77,83.5,"Asia"
"173",66.2,63.7,68.8,"Oceania"
"95",75.8,72.7,78.9,"South America"
"24",81.4,78.8,84.1,"North America"
"57.1",78.6,75.7,81.8,"Europe"
"107",75.3,72.7,78.1,"Oceania"
"220",51.6,52.2,51,"Africa"
"9",82.6,80.3,85,"Europe"
"102",75.5,72.6,78.5,"Europe"
"89",76.2,74.7,77.8,"Oceania"
"121",74.5,69.9,79.3,"Europe"
"95.1",75.8,72.7,78.9,"South America"
"14",82.2,79.8,84.8,"Oceania"
"167",67.7,64.6,71,"Asia"
"188",63.2,60.7,65.8,"Africa"
"25",81.3,78.1,84.5,"North America"
"23",81.5,78.9,84.3,"Europe"
"188.1",63.2,60.7,65.8,"Africa"
"92",75.9,72.2,79.8,"Europe"
"29",81.2,79.1,83.3,"Oceania"
"172",66.5,64.3,68.8,"Oceania"
"142.1",72.5,69.5,75.8,"Europe"
"191",63,60.7,65.4,"Africa"
"73",77.2,74.5,80,"South America"
"214.1",53.3,52.6,54.1,"Africa"
"64",78,75.3,80.8,"North America"
"43",79.8,77.5,82.1,"North America"
"98",75.6,73.3,78,"Asia"
"20",81.8,78.7,85.1,"Europe"
"12",82.4,79.3,85.8,"Asia"
"132",73.2,71,75.4,"Asia"
"117",74.7,71.5,78,"Asia"
"93",75.9,73.1,78.8,"North America"
"206",57.3,55.8,58.9,"Africa"
"184.1",64.1,62,66.3,"Africa"
"33",80.7,78.4,83.1,"Europe"
"124",73.9,72.3,75.7,"Asia"
"45",79.5,76.6,82.6,"Africa"
"144",72.4,70,74.8,"North America"
"131",73.4,70.9,76.2,"Asia"
"93.1",75.9,73.1,78.8,"North America"
"110",75,73,77.1,"Asia"
"189.1",63.1,61.6,64.6,"Africa"
"138.1",72.7,67.2,78.6,"Europe"
"137",72.9,69.9,75.9,"South America"
"94",75.8,73,78.8,"Oceania"
"95.2",75.8,72.7,78.9,"South America"
"162",68.7,67.2,70.4,"North America"
"164",68.4,65.4,71.5,"South America"
"175",65.5,63.4,67.8,"Asia"
"127.1",73.7,71.7,75.9,"South America"
"150",71.1,69.5,72.8,"North America"
"67.2",77.7,73.7,81.9,"Europe"
"17.1",81.9,79.2,84.6,"North America"
"81",76.8,73.8,79.9,"South America"
"96",75.7,72.6,79,"South America"
"85",76.5,74.4,78.8,"North America"
"56",78.6,75.9,81.4,"South America"
